hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 49.8638, 24.9318, 0, 0
2, 0.00000, 46.141, 23.0703, 0, 0
3, 0.00000, 46.3369, 23.1682, 0, 0
4, 0.00000, 45.5535, 22.7769, 0, 0
5, 0.00000, 45.7491, 22.8743, 0, 0
6, 0.00000, 46.533, 23.2663, 0, 0
7, 0.00000, 48.3941, 24.1967, 0, 0
8, 0.00000, 50.5497, 25.275, 0, 0
9, 0.00000, 51.0393, 25.5195, 0, 0
10, 0.00000, 49.4722, 24.7365, 0, 0
11, 0.00000, 52.6069, 26.3036, 0, 0
12, 0.00000, 51.1376, 25.5692, 0, 0
13, 0.00000, 51.0396, 25.52, 0, 0
14, 0.00000, 54.958, 27.4788, 0, 0
15, 0.00000, 51.5292, 25.7645, 0, 0
16, 0.00000, 59.2686, 29.6342, 0, 0
17, 0.00000, 56.5254, 28.2626, 0, 0
18, 0.00000, 63.0892, 31.5448, 0, 0
19, 0.00000, 60.1502, 30.0748, 0, 0
20, 0.00000, 58.6805, 29.3401, 0, 0
21, 0.00000, 58.6806, 29.3403, 0, 0
22, 0.00000, 58.6806, 29.3403, 0, 0
23, 0.00000, 55.1538, 27.5768, 0, 0
24, 0.00000, 51.1373, 25.5686, 0, 0
